<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
4294967295.2025.11	29:10:30	0.00	90684.55	90684.55	90596.05	4680962504318045389	107	0
4294967295.2025.11	29:10:45	0.00	90601.55	90612.75	90534.65	4680963088433597645	153	0
4294967295.2025.11	29:11:00	0.00	90610.05	90648.95	90490.15	4680960009801039872	210	0
4294967295.2025.11	29:11:15	0.00	90570.15	90613.25	90500.65	4680955570522842726	185	0
4294967295.2025.11	29:11:30	0.00	90506.15	90567.25	90477.05	4680959590612231782	183	0
4294967295.2025.11	29:11:45	0.00	90565.05	90602.35	90530.55	4680958229966592410	106	0
4294967295.2025.11	29:12:00	0.00	90539.35	90609.75	90481.05	4680959088960051610	187	0
4294967295.2025.11	29:12:15	0.00	90557.85	90585.45	90347.05	4680958635411505152	322	0
4294967295.2025.11	29:12:30	0.00	90546.95	90605.75	90546.95	4680960855050603725	153	0
4294967295.2025.11	29:12:45	0.00	90575.75	90622.95	90507.55	4680957398460923904	118	0
4294967295.2025.11	29:13:00	0.00	90525.55	90591.25	90430.75	4680960559556853760	165	0
4294967295.2025.11	29:13:15	0.00	90573.25	90594.15	90482.15	4680956855577057690	157	0
4294967295.2025.11	29:13:30	0.00	90519.35	90605.25	90468.95	4680960985617609523	155	0
4294967295.2025.11	29:13:45	0.00	90579.45	90662.05	90565.05	4680965885316300800	117	0
4294967295.2025.11	29:14:00	0.00	90650.15	90789.55	90621.05	4680964483438975386	197	0
4294967295.2025.11	29:14:15	0.00	90626.65	90652.45	90535.85	4680958071911795917	170	0
4294967295.2025.11	29:14:30	0.00	90537.05	90604.65	90511.15	4680962538677783757	130	0
4294967295.2025.11	29:14:45	0.00	90602.05	90694.75	90587.05	4680961975178074522	109	0
4294967295.2025.11	29:15:00	0.00	90593.35	90673.95	90576.85	4680962311903510528	123	0
4294967295.2025.11	29:15:15	0.00	90598.75	90765.65	90568.85	4680972791623712768	171	0
4294967295.2025.11	29:15:30	0.00	90751.25	90786.35	90662.65	4680970778143044403	149	0
4294967295.2025.11	29:15:45	0.00	90727.35	90790.15	90722.75	4680973506306270822	122	0
4294967295.2025.11	29:16:00	0.00	90761.65	90761.65	90654.55	4680970352082288640	151	0
4294967295.2025.11	29:16:15	0.00	90715.75	90729.55	90629.35	4680965438639702016	122	0
4294967295.2025.11	29:16:30	0.00	90644.25	90692.45	90608.65	4680965617310341530	147	0
4294967295.2025.11	29:16:45	0.00	90646.85	90678.75	90592.05	4680962662372841882	148	0
4294967295.2025.11	29:17:00	0.00	90603.85	90746.45	90603.85	4680971843294933811	150	0
4294967295.2025.11	29:17:15	0.00	90743.25	91098.00	90743.25	4680980227071095603	538	0
4294967295.2025.11	29:17:30	0.00	90859.45	90925.25	90822.45	4680979835370078208	198	0
4294967295.2025.11	29:17:45	0.00	90853.75	91046.95	90853.75	4680993111972983603	195	0
4294967295.2025.11	29:18:00	0.00	91051.25	91065.45	90934.45	4680988803261792256	218	0
4294967295.2025.11	29:18:15	0.00	90984.25	91149.65	90853.75	4680982694100310426	258	0
4294967295.2025.11	29:18:30	0.00	90905.30	90951.25	90886.25	4680984068489845146	169	0
4294967295.2025.11	29:18:45	0.00	90907.65	91000.65	90842.55	4680988693310629478	178	0
4294967295.2025.11	29:19:00	0.00	90982.65	91006.85	90688.35	4680968469168626074	230	0
4294967295.2025.11	29:19:15	0.00	90688.35	90758.25	90578.15	4680968750918480691	326	0
4294967295.2025.11	29:19:30	0.00	90686.45	90692.45	90431.15	4680959446301330637	347	0
4294967295.2025.11	29:19:45	0.00	90557.05	90608.95	90404.05	4680949213971244646	303	0
4294967295.2025.11	29:20:00	0.00	90406.25	90529.55	90128.15	4680945812357146214	558	0
4294967295.2025.11	29:20:15	0.00	90361.75	90499.45	90176.65	4680940225463687578	450	0
4294967295.2025.11	29:20:30	0.00	90274.35	90615.45	90190.65	4680960277806999142	379	0
4294967295.2025.11	29:20:45	0.00	90572.15	90698.95	90545.85	4680967122266882048	281	0
4294967295.2025.11	29:21:00	0.00	90672.40	90774.95	90581.85	4680969651143625933	203	0
4294967295.2025.11	29:21:15	0.00	90705.55	90833.95	90675.55	4680975664097840333	167	0
4294967295.2025.11	29:21:30	0.00	90787.15	90810.85	90600.35	4680963809988103373	161	0
4294967295.2025.11	29:21:45	0.00	90617.65	90657.35	90585.55	4680964016146533581	156	0
4294967295.2025.11	29:22:00	0.00	90621.25	90621.25	90380.05	4680951522945662976	267	0
4294967295.2025.11	29:22:15	0.00	90441.75	90663.55	90421.85	4680964668981562573	254	0
4294967295.2025.11	29:22:30	0.00	90627.85	90801.85	90619.45	4680975629738101965	188	0
4294967295.2025.11	29:22:45	0.00	90790.45	91024.95	90762.85	4680986171305833267	235	0
4294967295.2025.11	29:23:00	0.00	90952.75	91005.95	90801.05	4680978777090136474	189	0
4294967295.2025.11	29:23:15	0.00	90842.95	90953.55	90788.05	4680984254032432333	184	0
4294967295.2025.11	29:23:30	0.00	90913.25	91036.45	90889.55	4680990528120658330	207	0
4294967295.2025.11	29:23:45	0.00	91007.35	91035.45	90917.95	4680989593535774720	173	0
4294967295.2025.11	30:00:00	0.00	90995.75	90995.75	90712.25	4680971595904817562	201	0
4294967295.2025.11	30:00:15	0.00	90733.85	90804.55	90693.55	4680970455161503744	199	0
4294967295.2025.11	30:00:30	0.00	90711.05	90891.75	90688.25	4680981196015717581	202	0
4294967295.2025.11	30:00:45	0.00	90873.55	90907.85	90703.35	4680972283099584922	188	0
4294967295.2025.11	30:01:00	0.00	90748.85	90795.35	90673.85	4680969231954817843	179	0
4294967295.2025.11	30:01:15	0.00	90699.45	90879.25	90688.65	4680976344420660019	132	0
4294967295.2025.11	30:01:30	0.00	90802.95	90880.45	90798.15	4680978928272985293	120	0
4294967295.2025.11	30:01:45	0.00	90840.55	90840.55	90735.55	4680975444195514778	129	0
4294967295.2025.11	30:02:00	0.00	90791.35	90899.95	90749.65	4680981202887665254	177	0
4294967295.2025.11	30:02:15	0.00	90873.65	90924.75	90819.55	4680978804577927168	139	0
4294967295.2025.11	30:02:30	0.00	90838.75	90880.45	90787.85	4680979677315281715	116	0
4294967295.2025.11	30:02:45	0.00	90844.85	90880.45	90794.75	4680980811186647859	79	0
4294967295.2025.11	30:03:00	0.00	90867.95	91004.95	90839.25	4680988920084902707	162	0
4294967295.2025.11	30:03:15	0.00	90985.95	91035.45	90891.05	4680985415391589171	126	0
4294967295.2025.11	30:03:30	0.00	90934.30	91005.15	90910.75	4680986061354670490	145	0
4294967295.2025.11	30:03:45	0.00	90941.35	90944.45	90866.75	4680982254295659315	87	0
4294967295.2025.11	30:04:00	0.00	90888.95	91013.15	90888.95	4680984535782286950	128	0
